Key,Value,"Plugin name","File name"
tag4TextStatusAvailable,"Verfügbar TAG 4.",ItemAvailabilityInfo,Tags.properties
tag4TextStatusOthers,"Alle andere Kombination TAG 4.",ItemAvailabilityInfo,Tags.properties
tag4TextStatusPreorder,"Zum Vorbestellen TAG 4.",ItemAvailabilityInfo,Tags.properties
tag5TextStatusAvailable,"Verfügbar TAG 5.",ItemAvailabilityInfo,Tags.properties
tag5TextStatusOthers,"Alle andere Kombination TAG 5.",ItemAvailabilityInfo,Tags.properties
tag5TextStatusPreorder,"Zum Vorbestellen TAG 5.",ItemAvailabilityInfo,Tags.properties
textsDeliveryPossible,"Artikel zum Vorbestellen (Lieferbar in 2-4 Wochen)",ItemAvailabilityInfo,Template.properties
textsDeliveryPossibleBtn,"Jetzt vorbestellen",ItemAvailabilityInfo,Template.properties
textsNotDeliverable,"Artikel nicht lieferbar",ItemAvailabilityInfo,Template.properties
textsOnStock,"Stück lagernd",ItemAvailabilityInfo,Template.properties
textsOnStockPrefix,"mehr als",ItemAvailabilityInfo,Template.properties
textsShippingService,"24 Std. Versand möglich",ItemAvailabilityInfo,Template.properties
textsVariationId,"Varianten ID",ItemAvailabilityInfo,Template.properties
ExecuteMolliePaymentCheckout,"Execute Mollie Payment REDIRECT to checkout",Mollie,PaymentFlow.properties
ExecuteMolliePaymentContinuing,"Execute Mollie Payment CONTINUE to confirmation",Mollie,PaymentFlow.properties
ExecuteMolliePaymentCreatedRelation,"Execute Mollie Payment Created Relation",Mollie,PaymentFlow.properties
ExecuteMolliePaymentGotPaymentId,"Execute Mollie Payment Hook Got paymentId from session",Mollie,PaymentFlow.properties
ExecuteMolliePaymentHook,"Execute Mollie Payment Hook",Mollie,PaymentFlow.properties
ExecuteMolliePaymentRedirecting,"Execute Mollie Payment REDIRECT to payment journey",Mollie,PaymentFlow.properties
GettingMollieOrder,"Getting Mollie Order",Mollie,PaymentFlow.properties
IncomingWebhook,"Incoming Webhook",Mollie,PaymentFlow.properties
IncomingWebhookUpdatedPlentyOrder,"Incoming Webhook Updated Plenty Order",Mollie,PaymentFlow.properties
MollieDuplicateWebhook,"Mollie Duplicate Webhook",Mollie,PaymentFlow.properties
OrderPaidOrPendingCheck,"Checking if Mollie order is paid or pending",Mollie,PaymentFlow.properties
OrderReinitGotOrderId,"Order reinit received orderId from session",Mollie,PaymentFlow.properties
OrderReinitHasOrderId,"Order reinit has orderId from session",Mollie,PaymentFlow.properties
PaymentAfterUpdateInitialPayment,"Payment after update Initial payment",Mollie,PaymentFlow.properties
PaymentBecomesUnaccountable,"Payment becomes unaccountable",Mollie,PaymentFlow.properties
PaymentBeforeUpdateInitialPayment,"Payment before update Initial payment",Mollie,PaymentFlow.properties
PaymentCheckout,"Payment Checkout customer return",Mollie,PaymentFlow.properties
PaymentCheckoutCheckout,"Payment Checkout REDIRECT to checkout",Mollie,PaymentFlow.properties
PaymentCheckoutCheckoutNoCase,"Payment Checkout REDIRECT - no case",Mollie,PaymentFlow.properties
PaymentCheckoutConfirmation,"Payment Checkout REDIRECT to confirmation",Mollie,PaymentFlow.properties
PaymentCheckoutGotOrderId,"Payment Checkout got orderId from session",Mollie,PaymentFlow.properties
PaymentCheckoutGotPaymentId,"Payment Checkout got paymentId from session",Mollie,PaymentFlow.properties
PaymentCheckoutPlaceOrder,"Payment Checkout REDIRECT to placeOrder",Mollie,PaymentFlow.properties
PaymentControllerCreateOrderByCreditCard,"PaymentController createOrderByCreditCard",Mollie,PaymentFlow.properties
PaymentSuccessful,"Die Zahlung wurde erfolgreich ausgeführt.",Mollie,PaymentFlow.properties
PreparePaymentContinuing,"Prepare Payment Hook CONTINUE to place order",Mollie,PaymentFlow.properties
PreparePaymentHook,"Prepare Payment Hook",Mollie,PaymentFlow.properties
PreparePaymentMopMismatch,"Prepare Payment Hook ERROR  methods mismatch",Mollie,PaymentFlow.properties
PreparePaymentRedirecting,"Prepare Payment Hook REDIRECT to payment journey",Mollie,PaymentFlow.properties
UpdatedPlentyOrderIdOnMollieOrder,"Updated Plenty OrderId On MollieOrder",Mollie,PaymentFlow.properties
UpdatedPlentyOrderIdOnMolliePayment,"Updated Plenty OrderId On Mollie Payment",Mollie,PaymentFlow.properties
UpdatingPlentyOrder,"Updating Plenty Order",Mollie,PaymentFlow.properties
WebhookBreakdown,"Webhook breakdown",Mollie,PaymentFlow.properties
ApplePayMethodDescription,,Mollie,PaymentMethods.properties
ApplePayMethodName,"Apple Pay",Mollie,PaymentMethods.properties
BancomatpayMethodDescription,,Mollie,PaymentMethods.properties
BancomatpayMethodName,"BANCOMAT Pay",Mollie,PaymentMethods.properties
BancontactMethodDescription,,Mollie,PaymentMethods.properties
BancontactMethodName,Bancontact,Mollie,PaymentMethods.properties
BankTransferMethodDescription,,Mollie,PaymentMethods.properties
BankTransferMethodName,Überweisung,Mollie,PaymentMethods.properties
BelfiusMethodDescription,,Mollie,PaymentMethods.properties
BelfiusMethodName,Belfius,Mollie,PaymentMethods.properties
BillieMethodDescription,,Mollie,PaymentMethods.properties
BillieMethodName,"Rechnungskauf für Firmenkunden",Mollie,PaymentMethods.properties
BlikMethodDescription,,Mollie,PaymentMethods.properties
BlikMethodName,BLIK,Mollie,PaymentMethods.properties
CreditCardMethodDescription,,Mollie,PaymentMethods.properties
CreditCardMethodName,Kreditkarte,Mollie,PaymentMethods.properties
DirectDebitMethodDescription,,Mollie,PaymentMethods.properties
DirectDebitMethodName,SEPA-Lastschrift,Mollie,PaymentMethods.properties
EpsMethodDescription,,Mollie,PaymentMethods.properties
EpsMethodName,EPS,Mollie,PaymentMethods.properties
GiftcardMethodDescription,,Mollie,PaymentMethods.properties
GiftcardMethodName,Geschenkkarten,Mollie,PaymentMethods.properties
GiropayMethodDescription,,Mollie,PaymentMethods.properties
GiropayMethodName,Giropay,Mollie,PaymentMethods.properties
IdealMethodDescription,,Mollie,PaymentMethods.properties
IdealMethodName,iDEAL,Mollie,PaymentMethods.properties
In3MethodDescription,,Mollie,PaymentMethods.properties
In3MethodName,in3,Mollie,PaymentMethods.properties
IngHomepayMethodDescription,,Mollie,PaymentMethods.properties
KbcMethodDescription,,Mollie,PaymentMethods.properties
KbcMethodName,KBC/CBC,Mollie,PaymentMethods.properties
KlarnaMethodDescription,,Mollie,PaymentMethods.properties
KlarnaMethodName,"Bezahle mit Klarna",Mollie,PaymentMethods.properties
KlarnaPayNowMethodDescription,,Mollie,PaymentMethods.properties
KlarnaPayNowMethodName,"Klarna Pay Now",Mollie,PaymentMethods.properties
KlarnaPaylaterMethodDescription,,Mollie,PaymentMethods.properties
KlarnaPaylaterMethodName,"Klarna Pay Later",Mollie,PaymentMethods.properties
KlarnaSliceitMethodDescription,,Mollie,PaymentMethods.properties
KlarnaSliceitMethodName,"Klarna Slice it",Mollie,PaymentMethods.properties
PayByBankMethodDescription,,Mollie,PaymentMethods.properties
PayByBankMethodName,Banküberweisung,Mollie,PaymentMethods.properties
PaypalMethodDescription,,Mollie,PaymentMethods.properties
PaypalMethodName,Paypal,Mollie,PaymentMethods.properties
PaysafecardMethodDescription,,Mollie,PaymentMethods.properties
PaysafecardMethodName,Paysafecard,Mollie,PaymentMethods.properties
Przelewy24MethodDescription,,Mollie,PaymentMethods.properties
Przelewy24MethodName,Przelewy24,Mollie,PaymentMethods.properties
SofortMethodDescription,,Mollie,PaymentMethods.properties
SofortMethodName,"SOFORT Banking",Mollie,PaymentMethods.properties
TrustlyMethodDescription,,Mollie,PaymentMethods.properties
TrustlyMethodName,Trustly,Mollie,PaymentMethods.properties
TwintMethodDescription,,Mollie,PaymentMethods.properties
TwintMethodName,Twint,Mollie,PaymentMethods.properties
cancel,Abbrechen,Mollie,UI.properties
cardHolder,"Name des Karteninhabers",Mollie,UI.properties
cardNumber,Kreditkartennummer,Mollie,UI.properties
cvv,CVV,Mollie,UI.properties
deleteCreditCard,"Kreditkartendaten löschen",Mollie,UI.properties
expiryDate,MM/JJ,Mollie,UI.properties
initPayment,Bezahlen,Mollie,UI.properties
proceed,Weiter,Mollie,UI.properties
singleClickPaymentLabel,"Kreditkartendaten für den nächsten Einkauf speichern.",Mollie,UI.properties
verificationCode,CVV,Mollie,UI.properties
consentAdcellDescription,"ADCELLsession - Wird beim Besuchen von www.adcell.de gesetzt. Der Cookie ist nach dem letzten Besuch eine Stunde weiter gültig. ADCELLpidX - Dieser Cookie wird gesetzt nach dem Klick auf ein ADCELL Werbemittel und enthält Informationen über Publisher, Werbemittel, SubID, Referrer und Zeitstempel. Das X im Cookie-Namen steht für die ProgrammID des Werbemittels. Die Gültigkeitsdauer des Cookies ist abhängig vom entsprechenden Programm. ADCELLspidX - Dieser Cookie wird gesetzt nach dem Klick auf ein ADCELL Werbemittel und enthält Informationen über Publisher, Werbemittel, SubID, Referrer und Zeitstempel. Das X im Cookie-Namen steht für die ProgrammID des Werbemittels. Der Cookie wird nach Beenden des Browsers gelöscht. ADCELLvpidX - Dieser Cookie wird gesetzt nach dem Ausspielen eines ADCELL Werbemittels und enthält Informationen über Publisher, Werbemittel, SubID, Referrer und Zeitstempel. Das X im Cookie-Namen steht für die ProgrammID des Werbemittels. Die Gültigkeitsdauer des Cookies ist abhängig vom entsprechenden Programm. ADCELLjhX - Dieser Cookie wird nach wiederholtem Ausspielen oder Klicken auf ein ADCELL Werbemittel gesetzt. Damit wird der Weg des Nutzers über die verschiedenen Publisher nachvollzogen. Das X im Cookie-Namen steht für die ProgrammID des Werbemittels. ADCELLnoTrack - Dieser Cookie wird gesetzt, wenn der Nutzer nicht getrackt werden möchte. In Gegenwart des Cookies werden keine Cookies gesetzt, die außerhalb des Surfens auf www.adcell.de gesetzt werden könnten.",GoogleTagManagerUltimate,Consent.properties
consentAdcellLabel,ADCELL,GoogleTagManagerUltimate,Consent.properties
consentAdcellLifespan,"VARIABEL, siehe Beschreibung",GoogleTagManagerUltimate,Consent.properties
consentAdcellProvider,"ADCELL - Firstlead GmbH",GoogleTagManagerUltimate,Consent.properties
consentAwinDescription,"Cookies von AWIN, die für Website-Analyse und Anzeigenmessung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentAwinLabel,Awin,GoogleTagManagerUltimate,Consent.properties
consentAwinLifespan,Variabel,GoogleTagManagerUltimate,Consent.properties
consentAwinProvider,"AWIN AG",GoogleTagManagerUltimate,Consent.properties
consentBelboonDescription,"Cookies von Belboon, die für Website-Analyse und Anzeigenmessung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentBelboonLabel,Belboon,GoogleTagManagerUltimate,Consent.properties
consentBelboonLifespan,Variabel,GoogleTagManagerUltimate,Consent.properties
consentBelboonProvider,"belboon GmbH",GoogleTagManagerUltimate,Consent.properties
consentBingAdsDescription,"Die universelle Ereignisnachverfolgung (Universal Event Tracking, UET) ermöglicht die Nachverfolgung von Onlineabschlüssen, Remarketing, Produktzielgruppen, automatisiertes Bieten und verbessert die Performance von Anzeigen, weiter Übereinstimmung und Konsortialsuchpartnern.",GoogleTagManagerUltimate,Consent.properties
consentBingAdsLabel,"Microsoft Ads",GoogleTagManagerUltimate,Consent.properties
consentBingAdsLifespan,"1 Jahr",GoogleTagManagerUltimate,Consent.properties
consentBingAdsProvider,"Microsoft Corporation",GoogleTagManagerUltimate,Consent.properties
consentChannelPilotDescription,"Cookies von ChannelPilot, die für Website-Analyse und Anzeigenmessung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentChannelPilotLabel,ChannelPilot,GoogleTagManagerUltimate,Consent.properties
consentChannelPilotLifespan,"180 Tage",GoogleTagManagerUltimate,Consent.properties
consentChannelPilotProvider,"Channel Pilot Solutions GmbH",GoogleTagManagerUltimate,Consent.properties
consentClarityDescription,,GoogleTagManagerUltimate,Consent.properties
consentClarityLabel,,GoogleTagManagerUltimate,Consent.properties
consentClarityLifespan,,GoogleTagManagerUltimate,Consent.properties
consentClarityProvider,,GoogleTagManagerUltimate,Consent.properties
consentEcondaDescription,"Cookies von econda, die für Website-Analyse und Personalisierung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentEcondaLabel,econda,GoogleTagManagerUltimate,Consent.properties
consentEcondaLifespan,"VARIABEL, siehe Beschreibung",GoogleTagManagerUltimate,Consent.properties
consentEcondaProvider,"econda GmbH",GoogleTagManagerUltimate,Consent.properties
consentFacebookPixelDescription,"Cookies von Facebook, die für Website-Analysen, Ad Targeting und Anzeigenmessung verwendet werden.",GoogleTagManagerUltimate,Consent.properties
consentFacebookPixelLabel,"Facebook Pixel",GoogleTagManagerUltimate,Consent.properties
consentFacebookPixelLifespan,"Sitzung / 1 Jahr",GoogleTagManagerUltimate,Consent.properties
consentFacebookPixelProvider,"Facebook Ireland Limited",GoogleTagManagerUltimate,Consent.properties
consentGoogleAdsDescription,"Cookies von Google Ads, die für Website-Analysen, Ad Targeting und Anzeigenmessung verwendet werden.",GoogleTagManagerUltimate,Consent.properties
consentGoogleAdsLabel,"Google Ads Conversion Messung und dynamisches Remarketing",GoogleTagManagerUltimate,Consent.properties
consentGoogleAdsLifespan,"VARIABEL, siehe Beschreibung",GoogleTagManagerUltimate,Consent.properties
consentGoogleAdsProvider,"Google, Doubleclick.net",GoogleTagManagerUltimate,Consent.properties
consentGoogleAnalyticsDescription,"Test Cookies von Google Analytics, die für Website-Analysen, Ad Targeting und Anzeigenmessung verwendet werden.",GoogleTagManagerUltimate,Consent.properties
consentGoogleAnalyticsLabel,"Google Analytics",GoogleTagManagerUltimate,Consent.properties
consentGoogleAnalyticsLifespan,"VARIABEL, siehe Beschreibung",GoogleTagManagerUltimate,Consent.properties
consentGoogleAnalyticsProvider,"Google LLC",GoogleTagManagerUltimate,Consent.properties
consentHotjarDescription,"Cookies von Hotjar, die für Website-Analyse",GoogleTagManagerUltimate,Consent.properties
consentHotjarLabel,Hotjar,GoogleTagManagerUltimate,Consent.properties
consentHotjarLifespan,"bis zu 365 Tage",GoogleTagManagerUltimate,Consent.properties
consentHotjarProvider,"Hotjar Ltd",GoogleTagManagerUltimate,Consent.properties
consentIntelligentReachDescription,"Cookies von IntelligentReach, die für Website-Analyse und Anzeigenmessung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentIntelligentReachLabel,IntelligentReach,GoogleTagManagerUltimate,Consent.properties
consentIntelligentReachLifespan,Variabel,GoogleTagManagerUltimate,Consent.properties
consentIntelligentReachProvider,"Intelligent Reach Limited",GoogleTagManagerUltimate,Consent.properties
consentPinterestDescription,"Cookies von Pinterest, die für Website-Analysen, Ad Targeting und Anzeigenmessung verwendet werden.",GoogleTagManagerUltimate,Consent.properties
consentPinterestLabel,Pinterest,GoogleTagManagerUltimate,Consent.properties
consentPinterestLifespan,"VARIABEL, siehe Beschreibung",GoogleTagManagerUltimate,Consent.properties
consentPinterestProvider,"Pinterest Europe Ltd.",GoogleTagManagerUltimate,Consent.properties
consentSendinblueDescription,"Cookies von Sendinblue, die für Website-Analyse und Anzeigenmessung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentSendinblueLabel,Sendinblue,GoogleTagManagerUltimate,Consent.properties
consentSendinblueLifespan,Variabel,GoogleTagManagerUltimate,Consent.properties
consentSendinblueProvider,"Sendinblue GmbH",GoogleTagManagerUltimate,Consent.properties
consentTagManagerDescription,"Einbindung vom Google Tag Manager, der zur Aussteuerung von Scripten benötigt wird",GoogleTagManagerUltimate,Consent.properties
consentTagManagerLabel,"Google Tag Manager",GoogleTagManagerUltimate,Consent.properties
consentTagManagerLifespan,Variabel,GoogleTagManagerUltimate,Consent.properties
consentTagManagerProvider,"Google LLC",GoogleTagManagerUltimate,Consent.properties
consentActiveStatusDescription,"Der Consent-Cookie speichert Consent-Einstellungen zu Cookies auf unserer Seite.",GoogleTagManagerUltimate,Consent.properties
consentActiveStatusLabel,consentActiveStatus,GoogleTagManagerUltimate,Consent.properties
consentActiveStatusLifespan,"100 Tage",GoogleTagManagerUltimate,Consent.properties
externalIdDescription,"Der Session-Cookie (externalID) behält die Zustände des Benutzers bei allen Seitenanfragen bei.",GoogleTagManagerUltimate,Consent.properties
externalIdLabel,Session,GoogleTagManagerUltimate,Consent.properties
externalIdLifespan,"100 Tage",GoogleTagManagerUltimate,Consent.properties
consentMoebeldeDescription,"Cookies von Moebel.de, die für die Anzeigenmessung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentMoebeldeLabel,Moebel.de,GoogleTagManagerUltimate,Consent.properties
consentMoebeldeLifespan,Variabel,GoogleTagManagerUltimate,Consent.properties
consentMoebeldeProvider,"moebel.de Einrichten & Wohnen AG",GoogleTagManagerUltimate,Consent.properties
consentClartiyDescription,"Cookies von Clartiy, die für Website-Analyse und Anzeigenmessung verwendet werden",GoogleTagManagerUltimate,Consent.properties
consentClartiyLabel,Clartiy,GoogleTagManagerUltimate,Consent.properties
consentClartiyLifespan,Variabel,GoogleTagManagerUltimate,Consent.properties
consentClartiyProvider,"Microsoft Corporation",GoogleTagManagerUltimate,Consent.properties
customerReviewsDesc,"Kundenrezensionen ⬇",Feedback,Feedback.properties
customerReviewsAsc,"Kundenrezensionen ⬆",Feedback,Feedback.properties
customerReviews,Kundenrezensionen,Feedback,Feedback.properties
logInCustomerReviews,"Melde Dich an, um eine Kundenrezension zu verfassen.",Feedback,Feedback.properties
login,Anmelden,Feedback,Feedback.properties
title,Titel,Feedback,Feedback.properties
shopManagerLabel,Shop-Betreiber,Feedback,Feedback.properties
reviewMessage,Rezensionstext,Feedback,Feedback.properties
submitReview,"Rezension senden",Feedback,Feedback.properties
editReview,"Rezension bearbeiten",Feedback,Feedback.properties
deleteReview,"Rezension löschen",Feedback,Feedback.properties
errorDoesntOwnProduct,"Rezension nicht gesendet. Du musst den Artikel kaufen, bevor Du ihn bewerten kannst.",Feedback,Feedback.properties
cancel,Abbrechen,Feedback,Feedback.properties
noReviews,"Für diesen Artikel wurden noch keine Kundenrezensionen verfasst.",Feedback,Feedback.properties
deleteReviewConfirmation,"Möchtest Du diese Rezension wirklich löschen?",Feedback,Feedback.properties
moderationMessage,"Diese Rezension wird gerade vom Shop-Betreiber geprüft.",Feedback,Feedback.properties
maximumNumberOfFeedbacksReached,"Du hast bereits eine oder mehrere Rezensionen für diesen Artikel verfasst.",Feedback,Feedback.properties
createdOn,"Erstellt am",Feedback,Feedback.properties
addComment,"Antwort hinzufügen",Feedback,Feedback.properties
viewComments,"Antworten anzeigen",Feedback,Feedback.properties
hideComments,"Antworten verstecken",Feedback,Feedback.properties
deleteReply,"Antwort löschen",Feedback,Feedback.properties
deleteReplyConfirmation,"Möchtest Du diese Antwort wirklich löschen?",Feedback,Feedback.properties
editReply,"Antwort bearbeiten",Feedback,Feedback.properties
commentMessage,Antworttext,Feedback,Feedback.properties
submitComment,"Antwort senden",Feedback,Feedback.properties
replyMessage,Antworttext,Feedback,Feedback.properties
submitReply,"Antwort senden",Feedback,Feedback.properties
deleteConfirm,"Wirklich löschen?",Feedback,Feedback.properties
yesDeleteIt,Löschen,Feedback,Feedback.properties
verifiedPurchase,"Verifizierter Kauf",Feedback,Feedback.properties
anonymous,,Feedback,Feedback.properties
authorName,"Dein Anzeigename (optional)",Feedback,Feedback.properties
guestName,Unbekannt,Feedback,Feedback.properties
loadingFeedbacks,"Rezensionen werden geladen...",Feedback,Feedback.properties
loadingItems,"Artikel werden geladen...",Feedback,Feedback.properties
loadMore,"Weitere Rezensionen anzeigen",Feedback,Feedback.properties
ratingRequired,"Bitte gib eine Bewertung ab.",Feedback,Feedback.properties
titleRequired,"Bitte gib einen Titel ein.",Feedback,Feedback.properties
feedbackLabel,,Feedback,Feedback.properties
orderItemTitle,"Bewerte Deine gekauften Artikel.",Feedback,Feedback.properties
thankYou,"Vielen Dank für Deine Bewertung!",Feedback,Feedback.properties
facetName,Artikelbewertung,Feedback,Feedback.properties
honeypotLabel,Platzhalter,Feedback,Feedback.properties
feedbackTextLegend,Bewertungssterne,Feedback,Feedback.properties
feedbackAverageLabel,":count von 5 Bewertungssternen",Feedback,Feedback.properties
notificationSuccess,"Bewertung erfolgreich gespeichert",Feedback,Feedback.properties
notificationFailure,"Bewertung nicht gespeichert",Feedback,Feedback.properties
termsAndConditions,AGB,Ceres,Template.properties
termsAndConditionsMetaDescription,,Ceres,Template.properties
addressAddAddress,"Neue Adresse",Ceres,Template.properties
addressAddAddressTooltip,"Klicken, um eine neue Adresse anzulegen.",Ceres,Template.properties
addressAdditionalAddress1,"Adresszusatz 1",Ceres,Template.properties
addressAdditionalAddress2,"Adresszusatz 2",Ceres,Template.properties
addressAdditionalName,Namenszusatz,Ceres,Template.properties
addressBirthdate,Geburtsdatum,Ceres,Template.properties
addressBirthdatePlaceholder,tt.mm.jjjj,Ceres,Template.properties
addressCancel,Abbrechen,Ceres,Template.properties
addressChange,"Adresse ändern",Ceres,Template.properties
addressChangeTooltip,"Klicken, um eine andere Adresse zu wählen.",Ceres,Template.properties
addressChangedWarning,"Deine Adresse wurde gewechselt, da das ausgewählte Versandprofil diese Art von Lieferziel nicht unterstützt.",Ceres,Template.properties
addressCompany,Firma,Ceres,Template.properties
addressContactPerson,Ansprechpartner,Ceres,Template.properties
addressDelete,Löschen,Ceres,Template.properties
addressENAddressLine1,"Adresszeile 1",Ceres,Template.properties
addressENAddressLine2,"Adresszeile 2",Ceres,Template.properties
addressENAddressLine3,"Adresszeile 3",Ceres,Template.properties
addressENAddressLine4,"Adresszeile 4",Ceres,Template.properties
addressEdit,Bearbeiten,Ceres,Template.properties
addressEditTooltip,"Klicken, um diese Adresse zu bearbeiten.",Ceres,Template.properties
addressFirstName,Vorname,Ceres,Template.properties
addressGBNameAffix,Namenszusatz,Ceres,Template.properties
addressInvoiceAddressCreate,"Rechnungsadresse anlegen",Ceres,Template.properties
addressInvoiceAddressDelete,"Rechnungsadresse löschen",Ceres,Template.properties
addressInvoiceAddressEdit,"Rechnungsadresse bearbeiten",Ceres,Template.properties
addressInvoiceAddressInitial,"Bitte gib Deine Adresse ein",Ceres,Template.properties
addressLastName,Nachname,Ceres,Template.properties
addressMail,Kontakt-E-Mail,Ceres,Template.properties
addressNoAddress,"Noch keine Adresse vorhanden",Ceres,Template.properties
addressNumber,Nr.,Ceres,Template.properties
addressPackingStation,Packstation,Ceres,Template.properties
addressPackingStationNumber,Packstationsnummer,Ceres,Template.properties
addressPickupLocation,Abholort,Ceres,Template.properties
addressPlace,Ort,Ceres,Template.properties
addressPleaseSelect,"Bitte wählen",Ceres,Template.properties
addressPostNummer,Postnummer,Ceres,Template.properties
addressPostOffice,Postfiliale,Ceres,Template.properties
addressPostOfficeNumber,Filialnummer,Ceres,Template.properties
addressSalutation,Anrede,Ceres,Template.properties
addressSalutationCompany,Firma,Ceres,Template.properties
addressSalutationDiverse,Person,Ceres,Template.properties
addressSalutationFemale,Frau,Ceres,Template.properties
addressSalutationMale,Herr,Ceres,Template.properties
addressSalutationPleaseSelect,"Bitte auswählen",Ceres,Template.properties
addressSalutationPreferNotToSay,"Keine Anrede",Ceres,Template.properties
addressSameAsInvoice,"Lieferadresse gleich Rechnungsadresse",Ceres,Template.properties
addressSave,Speichern,Ceres,Template.properties
addressSelect,Adressauswahl,Ceres,Template.properties
addressSelectedNotAllowed,"Für die ausgewählte Adresse existiert kein passendes Versandprofil.",Ceres,Template.properties
addressSetPrimary,"Als Standard",Ceres,Template.properties
addressSetPrimaryTooltip,"Klicken, um diese Adresse als Standardadresse festzulegen.",Ceres,Template.properties
addressShippingAddressCreate,"Lieferadresse anlegen",Ceres,Template.properties
